CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
1598243,15000381685,2015381685,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,10/31/2015 05:53:00 PM,N 40 ST / CORLISS AV N,B,B3,5100.3002,-122.331440719,47.655574444,"(47.655574444, -122.331440719)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,10/31/2015 04:02:00 PM
879299,12000275077,2012275077,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,08/18/2012 05:00:00 PM,31XX BLOCK OF ALKI AVE SW,W,W1,9701.3007,-122.417114816,47.577301314,"(47.577301314, -122.417114816)",,,,
884287,12000284585,2012284585,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,08/25/2012 06:39:00 PM,30XX BLOCK OF S MYRTLE ST,O,O3,11000.3000,-122.293751048,47.538912489,"(47.538912489, -122.293751048)",,,,
2158580,14000316648,2014316648,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,09/21/2014 09:55:00 PM,9XX BLOCK OF 33 AV,G,G3,7800.4010,-122.290413831,47.61102733,"(47.61102733, -122.290413831)",SECONDARY - THEFT (NOT SHOPLIFT OR SERVICES),OTHER PROPERTY,THEFT,09/21/2014 09:24:00 PM
1092341,15000158971,2015158971,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,05/15/2015 01:09:00 AM,14XX BLOCK OF BROADWAY,E,E2,8400.1008,-122.320771379,47.613519513,"(47.613519513, -122.320771379)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1973515,17000124334,2017124334,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",04/09/2017 05:18:05 PM,5XX BLOCK OF PINE ST,M,M2,8200.1003,-122.33593,47.611904,"(47.611904, -122.33593)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,
545228,11000120978,2011120978,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,04/16/2011 12:38:00 AM,12XX BLOCK OF N NORTHGATE WAY,N,N2,1300.4000,-122.342666106,47.7050485,"(47.7050485, -122.342666106)",,,,
2209207,14000391941,2014391941,050,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,11/23/2014 12:07:00 PM,26XX BLOCK OF WESTERN AV,M,M1,8001.3015,-122.351008713,47.614861069,"(47.614861069, -122.351008713)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,11/23/2014 11:35:00 AM
762069,12000088632,201288632,030,ARMED ROBBERY,GUN CALLS,ROBBERY,03/23/2012 11:06:00 PM,9XX BLOCK OF E JOHN ST,E,E1,7500.5004,-122.320206093,47.619912475,"(47.619912475, -122.320206093)",,,,
122834,10000402919,2010402919,191,FELONY WARRANT SERVICE,WARRANT CALLS,ARREST,11/18/2010 11:54:00 PM,9XX BLOCK OF N 192ND ST,K,K2,8100.2035,-122.348369018,47.767777988,"(47.767777988, -122.348369018)",,,,
1576375,15000354259,2015354259,176,LIQUOR VIOLATION - ADULT,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,10/10/2015 01:41:00 AM,11 AV / E PIKE ST,E,E2,7500.4006,-122.318141828,47.614092169,"(47.614092169, -122.318141828)",LIQUOR VIOLATIONS - ADULT,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
1903549,16000460537,2016460537,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,12/24/2016 01:20:22 AM,M L KING JR WY / E CHERRY ST,G,G2,8800.2012,-122.29626,47.607994,"(47.607994, -122.29626)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1962416,17000103382,2017103382,260,"ANIMALS - INJURED, DEAD, DANGEROUS",ANIMAL COMPLAINTS,ANIMAL COMPLAINTS,03/24/2017 04:37:43 PM,NE 130 ST / 3 AV NE,N,N2,600.5004,-122.32623,47.72314,"(47.72314, -122.32623)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/24/2017 12:33:52 PM
2013757,17000198432,2017198432,184,"NARCOTICS, OTHER",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,06/03/2017 06:32:12 PM,10 AV / E PIKE ST,E,E2,7500.4014,-122.31945,47.614082,"(47.614082, -122.31945)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,06/03/2017 03:15:48 PM
1249224,11000040819,201140819,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,02/03/2011 05:38:00 PM,17XX BLOCK OF BELLEVUE AVE,E,E1,7400.5009,-122.326803612,47.6167093,"(47.6167093, -122.326803612)",,,,
1603507,15000388419,2015388419,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,11/06/2015 09:18:00 AM,45XX BLOCK OF 25 AV NE,U,U3,4301.1014,-122.30090616,47.661888297,"(47.661888297, -122.30090616)",TRU - PROPERTY DESTRUCTION/DAMAGE,PROPERTY DAMAGE,PROPERTY DAMAGE,
877042,12000270671,2012270671,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,08/15/2012 03:10:00 PM,103XX BLOCK OF MERIDIAN AVE N,N,N3,1200.5004,-122.333916345,47.704127952,"(47.704127952, -122.333916345)",,,,
1839445,16000344373,2016344373,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,09/22/2016 07:08:42 PM,123XX BLOCK OF 15 AV NE,L,L1,700.3004,-122.312004,47.71864,"(47.71864, -122.312004)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,09/22/2016 03:55:09 PM
1895533,16000445049,2016445049,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,12/11/2016 07:23:15 PM,4XX BLOCK OF NW 97 ST,J,J1,1702.4002,-122.36272,47.699677,"(47.699677, -122.36272)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,12/11/2016 04:10:18 PM
593056,11000162599,2011162599,440,MOTORIST ASSIST,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,05/22/2011 02:41:00 AM,SW ORCHARD ST / DELRIDGE WY SW,F,F1,10700.1013,-122.36109241,47.537953255,"(47.537953255, -122.36109241)",,,,
1955076,17000090118,201790118,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/14/2017 01:36:26 AM,BROADWAY / E PIKE ST,E,E2,8400.1008,-122.32078,47.614075,"(47.614075, -122.32078)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
2023677,17000216675,2017216675,071,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,06/16/2017 01:16:59 PM,99XX BLOCK OF HOLMAN RD NW,N,N1,1400.301,-122.36273,47.701393,"(47.701393, -122.36273)",AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY,AUTO THEFTS,AUTO RECOVERIES,06/16/2017 12:35:36 PM
673235,12000231878,2012231878,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,07/18/2012 05:55:00 PM,47XX BLOCK OF 42ND AVE SW,W,W2,10500.4005,-122.385483014,47.56021005,"(47.56021005, -122.385483014)",TRAFFIC - MOVING VIOLATION,TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
537051,11000110645,2011110645,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,04/07/2011 02:34:00 AM,42 AV E / E BLAINE ST,C,C3,6300.2004,-122.27852444,47.634558269,"(47.634558269, -122.27852444)",,,,
70048,10000325115,2010325115,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF ",09/16/2010 04:57:00 PM,16XX BLOCK OF HARVARD AVE,E,E1,7400.4005,-122.32213936,47.615810125,"(47.615810125, -122.32213936)",,,,
853400,12000230820,2012230820,176,LIQUOR VIOLATION - ADULT,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,07/17/2012 10:09:00 PM,2XX BLOCK OF BATTERY ST,M,M1,8001.2002,-122.346523619,47.615141142,"(47.615141142, -122.346523619)",,,,
1989082,17000153061,2017153061,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,05/02/2017 06:35:00 PM,SW SPOKANE ST / HARBOR AV SW,W,W1,9900.4033,-122.37066,47.57179,"(47.57179, -122.37066)","MOTOR VEHICLE COLLISION, UNKNOWN INJURIES",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,05/02/2017 03:49:00 PM
36950,10000277470,2010277470,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,08/10/2010 12:15:00 AM,6XX BLOCK OF 9TH AVE,D,D3,8500.3000,-122.325075971,47.605911837,"(47.605911837, -122.325075971)",,,,
1089521,15000154716,2015154716,100,FRAUD (INCLUDING IDENTITY THEFT),FRAUD CALLS,FRAUD CALLS,05/11/2015 06:47:00 PM,52XX BLOCK OF 36 AV NE,U,U3,4200.4025,-122.289073006,47.667599961,"(47.667599961, -122.289073006)",TRU - FORGERY/CHKS/BUNCO/SCAMS/ID THEFT,FRAUD CALLS,FRAUD CALLS,
2117065,14000240256,2014240256,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,07/22/2014 06:57:00 PM,NE 43 ST / 12 AV NE,U,U2,5301.3006,-122.31548267,47.659822202,"(47.659822202, -122.31548267)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,07/22/2014 06:25:00 PM
1675008,16000057282,201657282,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,02/17/2016 08:10:24 AM,BROADWAY / MADISON ST,E,E3,8400.2009,-122.32076,47.611168,"(47.611168, -122.32076)",SECONDARY - THEFT (NOT SHOPLIFT OR SERVICES),OTHER PROPERTY,THEFT,
410018,11000255773,2011255773,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,08/05/2011 08:53:00 PM,115XX BLOCK OF GREENWOOD AVE N,B,B1,402.3011,-122.355512145,47.713251677,"(47.713251677, -122.355512145)",,,,
1318601,13000056258,201356258,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,02/18/2013 06:11:00 AM,5 AV S / S JACKSON ST,K,K2,9200.1006,-122.327669217,47.599193524,"(47.599193524, -122.327669217)",,,,
929944,12000350592,2012350592,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,10/13/2012 03:57:00 AM,3XX BLOCK OF 2ND AV ET S,K,K2,9200.2021,-122.3308075,47.60046424,"(47.60046424, -122.3308075)",,,,
627131,11000193461,2011193461,184,"NARCOTICS, OTHER",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,06/16/2011 08:18:00 PM,2 AV / LENORA ST,M,M2,8002.1001,-122.343054862,47.612500305,"(47.612500305, -122.343054862)",,,,
2247158,15000014568,201514568,201,ALARMS - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,01/14/2015 09:07:00 AM,45XX BLOCK OF CALIFORNIA AV SW,W,W2,10500.6004,-122.386776711,47.562009049,"(47.562009049, -122.386776711)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",ALARMS,SUSPICIOUS CIRCUMSTANCES,
2010161,17000191590,2017191590,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,05/30/2017 03:51:11 AM,92XX BLOCK OF GREENWOOD AV N,J,J1,1702.1014,-122.35537,47.696934,"(47.696934, -122.35537)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
897074,12000304481,2012304481,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,09/09/2012 07:43:00 PM,VIRGINIA ST / WESTERN AV,M,M3,8100.1003,-122.343640321,47.610318115,"(47.610318115, -122.343640321)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,09/09/2012 07:09:00 PM
597918,11000163571,2011163571,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,05/23/2011 04:04:00 AM,ELLIOTT AV W / W LEE ST,Q,Q3,5802.2010,-122.373170723,47.630287436,"(47.630287436, -122.373170723)",,,,
490570,11000093887,201193887,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/23/2011 08:26:00 AM,79XX BLOCK OF RENTON AVE S,S,S2,11800.5004,-122.270954832,47.518161367,"(47.518161367, -122.270954832)",,,,
1686421,16000077109,201677109,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/04/2016 02:23:56 AM,16XX BLOCK OF HARVARD AV,E,E2,8400.1000,-122.322136,47.61581,"(47.61581, -122.322136)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1323167,15000234735,2015234735,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,07/09/2015 05:13:00 PM,S COLLEGE ST / 22 AV S,R,R1,9400.3032,-122.304260813,47.582950677,"(47.582950677, -122.304260813)","MOTOR VEHICLE COLLISION, BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,07/09/2015 04:18:00 PM
2099114,14000215626,2014215626,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,07/04/2014 04:57:00 AM,8XX BLOCK OF E PIKE ST,E,E2,8400.1016,-122.321445648,47.614070931,"(47.614070931, -122.321445648)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1069275,15000126346,2015126346,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,04/18/2015 09:03:00 AM,52XX BLOCK OF 19 AV NE,U,U1,4400.3000,-122.307150271,47.667464279,"(47.667464279, -122.307150271)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
538547,11000114704,2011114704,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,04/10/2011 08:32:00 PM,14XX BLOCK OF WESTERN AVE,M,M3,8100.1012,-122.340669909,47.607860347,"(47.607860347, -122.340669909)",,,,
1121113,15000200404,2015200404,161,TRESPASS,TRESPASS,TRESPASS,06/15/2015 06:32:00 AM,14XX BLOCK OF 1 AV,M,M1,8100.3003,-122.339559372,47.608324563,"(47.608324563, -122.339559372)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,
550457,11000136142,2011136142,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,04/29/2011 06:22:00 PM,6 AV S / S KING ST,K,K2,9100.2005,-122.32636404,47.598352412,"(47.598352412, -122.32636404)",,,,
949001,12000374972,2012374972,052,BURGLARY - COMMERCIAL,COMMERCIAL BURGLARIES,BURGLARY,11/01/2012 03:47:00 PM,29XX BLOCK OF SW AVALON WAY,W,W1,9900.1011,-122.37068156,47.570211051,"(47.570211051, -122.37068156)",,,,
560441,11000143213,2011143213,192,MISDEMEANOR WARRANT SERVICE,WARRANT CALLS,ARREST,05/05/2011 03:45:00 PM,12 AV / E MARION ST,E,E2,8600.2001,-122.316783376,47.610394477,"(47.610394477, -122.316783376)",,,,
669439,11000374138,2011374138,181,NARCOTICS ACTIVITY REPORT,NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,11/18/2011 04:27:00 PM,15XX BLOCK OF LAKEVIEW BLVD E,C,C1,6600.1006,-122.3223972,47.633781438,"(47.633781438, -122.3223972)",,,,
1920456,17000023630,201723630,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,01/20/2017 12:10:45 AM,N 135 ST / AURORA AV N,N,N2,401.1008,-122.34502,47.726856,"(47.726856, -122.34502)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
390949,11000227984,2011227984,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF ",07/14/2011 01:51:00 PM,4XX BLOCK OF PINE ST,M,M2,8100.2001,-122.337320426,47.611321241,"(47.611321241, -122.337320426)",,,,
2048349,14000193857,2014193857,171,PARKS EXCLUSION,PARKS EXCLUSIONS,MISCELLANEOUS MISDEMEANORS,06/17/2014 11:34:00 PM,26XX BLOCK OF ALKI AV SW,W,W1,9701.1004,-122.407524041,47.580269694,"(47.580269694, -122.407524041)",PARKS VIOLATIONS/CITES (INCLUDES EXCLUSIONS),TRESPASS,PARKS EXCLUSIONS,06/17/2014 10:49:00 PM
671910,12000234270,2012234270,202,ALARMS - COMMERCIAL PANIC (FALSE),PANIC ALARMS (FALSE),FALSE ALARMS,07/20/2012 12:54:00 PM,83XX BLOCK OF AURORA AVE N,J,J3,2700.4004,-122.344516302,47.689474378,"(47.689474378, -122.344516302)","ALARM - COMM, HOLD-UP/PANIC (EXCEPT BANKS)",ALARMS,SUSPICIOUS CIRCUMSTANCES,
139383,10000430221,2010430221,372,PROPERTY - FOUND (FOLLOW UP TO SPD CASE),"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",12/14/2010 07:10:00 PM,90XX BLOCK OF 35TH AVE SW,F,F2,11500.3013,-122.376730716,47.521965551,"(47.521965551, -122.376730716)",,,,
