psraid,sample,int_date,state,sex,"[Q1] Overall, how would you rate your community as a place to live? Would you say it is","[Q3] Overall, how would you rate the economy in your community today? ","[eminuse] Do you use the internet or email, at least occasionally? ","[intmob] Do you access the internet on a cell phone, tablet or other mobile handheld device, at least occasionally?",[intfreq] About how often do you use the internet?,[home4nw] Do you currently subscribe to internet service at HOME? ,"[device1a] Next, do you have a cell phone, or not? ",smartphone,[q5a] Please tell me if you ever use your cell phone to do any of the following things. Do you ever use your cell phone to Participate in a video call or video chat?,"[q5b] Buy a product online, such as books, music, toys or clothing","[q5c] Get directions, recommendations, or other information related to your location",[q5d] Get sports scores or analysis ,[q5e] Watch movies or TV shows through a paid subscription service like NetFlix or Hulu Plus ,"[q5f] Listen to an online radio or music service, such as Pandora or Spotify","[date1a] Have YOU, personally, ever used an online dating site such as Match.com, eHarmony, or OK Cupid?",[date2a] Have you ever used a dating app on your cell phone? ,[date3a] Do you personally know anyone who has Used an online dating site or app?,[date3b] Do you personally know anyone who has been in a long-term relationship with or married someone they met through an online dating site or app?,[date4a] Online dating is a good way to meet people,[date4b] Online dating allows people to find a better match for themselves because they can get to know a lot more people,[date4c] People who use online dating sites are desperate,[date4d] Online dating keeps people from settling down because they always have options for people to date,[date4e] Online dating is easier and more efficient than other ways of meeting people ,[date4f] Online dating is more dangerous than other ways of meeting people ,age,"[marital] Are you currently married, living with a partner, divorced, separated, widowed, or have you never been married? ","[hh1] How many adults age 18 and over currently live in your household, INCLUDING YOURSELF?",[educ2] What is the highest level of school you have completed or the highest degree you have received?,"[party] In politics TODAY, do you consider yourself a Republican, Democrat, or independent?","[ideo] In general, would you describe your political views as ",income,zipcode
100060,1,61015,20,Female,1,2,1,1,4,1,Yes,"Yes, smartphone",No,Yes,Yes, , , ,No,No,No,Yes,AGREE,AGREE,DISAGREE,DON'T KNOW,AGREE,AGREE,81,Widowed,1,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Republican,Moderate,(VOL.) Refused,67642
100065,1,61915,40,Female,3,2,1,2,2,1,Yes,"No, not a smartphone",No,No,No, , , ,No, ,No,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,77,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Republican,Moderate,(VOL.) Refused,73086
100067,1,61015,27,Male,1,3,1,1,1,1,Yes,"Yes, smartphone",Yes,No,Yes, , , ,No,No,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,DON'T KNOW,DISAGREE,52,Married,2,"Some college, no degree (includes some community college)",Independent,Conservative,"100 to under $150,000",55395
100079,1,62315,12,Female,3,2,1,1,2,1,Yes,"Yes, smartphone",No,No,Yes, , , ,No,No,No,No,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,74,Married,2,Two year associate degree from a college or university,Democrat,Conservative,"50 to under $75,000",32771
100080,1,62015,45,Female,4,4,1,1,2,1,Yes,"Yes, smartphone", , , ,Yes,No,Yes,No,No,Yes,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,43,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Independent,Moderate,(VOL.) Don't know,29560
100084,1,61015,1,Female,2,2,1,1,2,1,Yes,"Yes, smartphone", , , ,Yes,No,Yes,No,No,Yes,No,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,44,Married,3,"Some college, no degree (includes some community college)",Republican,Conservative,"75 to under $100,000",36854
100091,1,61915,21,Male,1,3,2,2, , ,Yes,"Yes, smartphone", , , ,Yes,No,Yes, ,No,No,No,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,68,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Independent,Conservative,"30 to under $40,000",42211
100096,1,61015,5,Male,3,2,1,1,2,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,No,No,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,87,Married,2,Two year associate degree from a college or university,Democrat,"Liberal, OR","30 to under $40,000",71852
100102,1,61015,36,Female,1,2,1,2,2,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,No,Yes,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,68,Divorced,1,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,"Liberal, OR",(VOL.) Refused,10075
100118,1,61015,1,Male,1,2,1,1,2,1,Yes,"Yes, smartphone", , , ,Yes,No,No,No,No,No,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,58,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Republican,Moderate,"75 to under $100,000",36532
100129,1,62315,30,Female,4,4,1,1,1,1,No, , , , , , , ,No, ,No,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,31,Never been married,1,High school graduate (Grade 12 with diploma or GED certificate),Independent,Moderate,"10 to under $20,000",59043
100134,1,61015,20,Male,2,3,2,2, , ,Yes,"No, not a smartphone",No,No,No, , , , , ,No,No,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,85,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Republican,Moderate,"50 to under $75,000",66051
100141,1,61015,48,Female,2,2,2,2, , ,No, , , , , , , , , ,No,No,AGREE,DON'T KNOW,DISAGREE,DISAGREE,DISAGREE,DISAGREE,93,Widowed,1,Less than high school (Grades 1-8 or no formal schooling),Democrat,"Liberal, OR","Less than $10,000",78954
100142,1,61015,45,Male,4,4,2,2, , ,Yes,Not sure/Don't know, , , ,No,Yes,Yes, , ,No,No,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,57,Married,3,High school graduate (Grade 12 with diploma or GED certificate),Democrat,Very conservative,"50 to under $75,000",29706
100143,1,61015,9,Male,1,3,1,2,1,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,No,No,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,70,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,"Liberal, OR","$150,000 or more",6511
100151,1,61015,51,Female,2,3,1,2,2,1,Yes,"Yes, smartphone",No,No,No, , , ,No,No,Yes,No,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,36,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Independent,(VOL.) Don't know,"75 to under $100,000",23452
100152,1,62415,49,Female,2,4,1,1,2,1,Yes,"No, not a smartphone",No,No,No, , , ,No, ,No,Yes,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,39,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Republican,Conservative,"50 to under $75,000",84005
100156,1,62115,27,Female,1,2,1,2,8,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,No,No,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,85,Widowed,1,High school graduate (Grade 12 with diploma or GED certificate),(VOL.) No preference,Moderate,"Less than $10,000",55014
100161,1,61015,12,Female,2,3,1,1,2,1,Yes,"Yes, smartphone", , , ,Yes,Yes,Yes,No,No,Yes,No,AGREE,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,76,Widowed,1,"Some postgraduate or professional schooling, no postgraduate degree",Democrat,Very liberal?,"50 to under $75,000",32934
100163,1,61015,27,Female,2,2,1,2,1,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,Yes,No,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,63,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Independent,Moderate,"50 to under $75,000",55941
100176,1,62015,53,Female,2,3,1,2,1,1,No, , , , , , , ,No, ,Yes,Yes,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,66,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,Conservative,"40 to under $50,000",99026
100177,1,61015,41,Female,1,2,1,1,1,1,Yes,"Yes, smartphone",No,No,Yes, , , ,No,No,No,No,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,57,Never been married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Democrat,(VOL.) Refused,"75 to under $100,000",97756
100178,1,62015,6,Male,1,2,1,1,3,1,Yes,"Yes, smartphone", , , ,No,No,Yes,No,No,No,No,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,19,Never been married,3,High school graduate (Grade 12 with diploma or GED certificate),Democrat,Moderate,"10 to under $20,000",91306
100180,1,61015,41,Male,3,3,1,1,5,2,No, , , , , , , ,No, ,No,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,28,Never been married,2,High school graduate (Grade 12 with diploma or GED certificate),Republican,Conservative,"20 to under $30,000",97470
100194,1,61015,39,Female,1,2,1,1,2,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,Yes,Yes,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,49,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Democrat,Moderate,"100 to under $150,000",44236
100205,1,61015,55,Female,2,2,1,1,2,1,Yes,"Yes, smartphone", , , ,No,No,No,Yes,No,No,No,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,45,Never been married,1,Two year associate degree from a college or university,Republican,(VOL.) Don't know,"30 to under $40,000",54768
100206,1,61015,6,Female,4,4,1,1,5,1,No, , , , , , , ,No, ,No,8,AGREE,AGREE,DISAGREE,AGREE,DON'T KNOW,DON'T KNOW,75,Widowed,2,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),Independent,Moderate,"Less than $10,000",93308
100207,1,61015,41,Male,2,1,1,1,3,1,Yes,"Yes, smartphone",No,No,No, , , ,No,No,No,No,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,60,Living with a partner,2,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),Democrat,"Liberal, OR","10 to under $20,000",97138
100208,1,61015,24,Female,2,2,1,1,2,1,Yes,"No, not a smartphone",No,Yes,Yes, , , ,No, ,No,No,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,52,Never been married,3,Two year associate degree from a college or university,Democrat,"Liberal, OR","30 to under $40,000",21217
100209,1,61015,37,Male,1,2,1,2,5,1,Yes,"No, not a smartphone",No,No,No, , , ,No, ,No,No,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,58,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Republican,Very conservative,"20 to under $30,000",27028
100223,1,61015,29,Female,1,2,1,1,5,2,Yes,"Yes, smartphone",No,No,No, , , ,No,No,No,No,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,67,Married,2,High school graduate (Grade 12 with diploma or GED certificate),(VOL.) Refused,Conservative,"30 to under $40,000",63785
100229,1,61015,6,Female,2,2,1,1,4,1,Yes,Not sure/Don't know,Yes,No,Yes, , , ,No, ,No,No,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,80,Widowed,1,Two year associate degree from a college or university,Republican,Conservative,"20 to under $30,000",96080
100235,1,62415,9,Female,3,3,1,2,4,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,73,Married,2,"Some college, no degree (includes some community college)",Independent,Conservative,"40 to under $50,000",6516
100239,1,61015,6,Female,1,2,1,1,3,1,Yes,"Yes, smartphone", , , ,Yes,Yes,Yes,No,Yes,No,No,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,19,Never been married,4,"Some college, no degree (includes some community college)",Democrat,"Liberal, OR","30 to under $40,000",90404
100252,1,62115,12,Male,1,4,1,2,3,2,Yes,"No, not a smartphone", , , ,No,No,No,No, ,No,No,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,70,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Republican,Very conservative,"40 to under $50,000",32060
100254,1,62015,45,Male,2,3,1,1,2,1,Yes,"Yes, smartphone",Yes,Yes,Yes, , , ,No,No,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,25,Never been married,3,Two year associate degree from a college or university,(VOL.) Refused,Conservative,(VOL.) Refused,29550
100256,1,62115,23,Male,1,8,1,1,2,1,Yes,"Yes, smartphone", , , ,No,No,No,No,No,No,No,8,DISAGREE,DON'T KNOW,DON'T KNOW,DON'T KNOW,DISAGREE,81,Married,1,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",(VOL.) Other party,Moderate,"$150,000 or more",4855
100259,1,62015,53,Female,1,2,1,1,3,1,Yes,"Yes, smartphone",No,No,Yes, , , ,No,No,No,No,DISAGREE,DISAGREE,DISAGREE,DON'T KNOW,DON'T KNOW,AGREE,75,Never been married,1,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,"Liberal, OR",(VOL.) Don't know,98116
100262,1,62715,26,Male,1,2,1,2,3,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,No,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,51,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Independent,Conservative,"75 to under $100,000",48418
100266,1,61015,53,Female,1,2,1,1,2,1,Yes,"Yes, smartphone", , , ,No,No,No,No,No,Yes,Yes,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,73,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Independent,"Liberal, OR","100 to under $150,000",98516
100272,1,61015,41,Female,3,3,1,1,2,1,Yes,"Yes, smartphone",No,Yes,Yes, , , ,No,No,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,40,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Independent,Moderate,"100 to under $150,000",97223
100285,1,61015,15,Male,1,2,1,2,2,1,No, , , , , , , ,No, ,No,No,8,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,AGREE,78,Widowed,5,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,"Liberal, OR","50 to under $75,000",96746
100287,1,61115,42,Female,1,3,1,1,3,1,Yes,"No, not a smartphone", , , ,No,Yes,No,No, ,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,61,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Independent,Conservative,"30 to under $40,000",15714
100289,1,61115,34,Female,2,3,1,2,3,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,No,No,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,75,Married,4,Two year associate degree from a college or university,Independent,Conservative,(VOL.) Don't know,7733
100298,1,61115,34,Female,2,3,1,1,1,1,Yes,"Yes, smartphone", , , ,Yes,No,Yes,Yes,No,Yes,No,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,37,Never been married,1,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Independent,Moderate,"75 to under $100,000",7083
100300,1,62215,22,Female,1,4,2,2, , ,Yes,"No, not a smartphone",No,No,No, , , , , ,Yes,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,56,Divorced,1,High school graduate (Grade 12 with diploma or GED certificate),Republican,Moderate,"Less than $10,000",71457
100301,1,61115,54,Male,1,2,1,1,2,1,Yes,"Yes, smartphone",No,No,Yes, , , ,No,No,Yes,No,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,61,Married,2,Two year associate degree from a college or university,Independent,Very conservative,"$150,000 or more",25090
100307,1,61115,21,Female,4,4,1,2,4,1,No, , , , , , , ,No, ,No,No,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,60,Widowed,2,High school graduate (Grade 12 with diploma or GED certificate),Democrat,Conservative,"20 to under $30,000",42301
100308,1,61115,26,Female,2,2,2,2, , ,No, , , , , , , , , ,No,No,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,27,Married,2,Less than high school (Grades 1-8 or no formal schooling),(VOL.) Don't know,(VOL.) Don't know,"40 to under $50,000",49091
100310,1,61115,42,Female,1,1,1,1,2,1,Yes,"Yes, smartphone", , , ,No,Yes,Yes,No,No,No,Yes,DISAGREE,REFUSED,DISAGREE,DON'T KNOW,DON'T KNOW,AGREE,43,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,"Liberal, OR","$150,000 or more",16046
100316,1,61115,47,Female,1,4,2,2, , ,Yes,"Yes, smartphone",No,No,No, , , , ,No,No,No,DISAGREE,DISAGREE,AGREE,DON'T KNOW,DISAGREE,AGREE,72,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Republican,Very conservative,"40 to under $50,000",38135
100320,1,61115,29,Female,2,2,1,1,4,1,Yes,"No, not a smartphone",No,No,No, , , ,No, ,Yes,No,AGREE,DON'T KNOW,DISAGREE,REFUSED,DON'T KNOW,DON'T KNOW,99,#N/A,9,Refused,Democrat,"Liberal, OR",(VOL.) Refused,63040
100324,1,61115,27,Male,2,3,1,1,3,1,Yes,"No, not a smartphone", , , ,No,No,No,No, ,No,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,69,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Democrat,Very conservative,"30 to under $40,000",55614
100333,1,61115,39,Male,1,3,2,2, , ,Yes,"No, not a smartphone", , , ,No,No,No, , ,No,No,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,70,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Independent,Very conservative,"40 to under $50,000",44017
100335,1,61115,34,Male,2,2,1,1,2,1,Yes,"Yes, smartphone",No,Yes,Yes, , , ,No,No,No,Yes,AGREE,DON'T KNOW,DISAGREE,DISAGREE,DON'T KNOW,AGREE,45,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,Very liberal?,"$150,000 or more",7023
100346,1,61115,1,Female,2,3,2,2, , ,Yes,"No, not a smartphone",No,No,No, , , , , ,No,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,73,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Democrat,Moderate,"30 to under $40,000",36587
100349,1,61115,42,Female,2,2,2,1,5,2,No, , , , , , , ,No, ,Yes,Yes,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,82,Widowed,5,"Some college, no degree (includes some community college)",Democrat,Conservative,"20 to under $30,000",17201
100352,1,61115,26,Male,1,3,1,1,5,1,Yes,"No, not a smartphone",No,No,No, , , ,No, ,No,No,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,72,Married,2,"Some college, no degree (includes some community college)",Republican,Conservative,"50 to under $75,000",49441
100356,1,62215,6,Female,2,3,1,1,3,1,Yes,"Yes, smartphone", , , ,No,No,Yes,No,No,No,No,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,66,Widowed,4,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",(VOL.) Refused,Conservative,"40 to under $50,000",92672
100360,1,62715,39,Female,2,3,1,1,1,1,Yes,"Yes, smartphone", , , ,Yes,Yes,Yes,No,No,No,No,AGREE,DISAGREE,DON'T KNOW,DISAGREE,DISAGREE,DISAGREE,67,Married,2,Two year associate degree from a college or university,Republican,Conservative,"50 to under $75,000",43515
100363,1,61115,17,Female,1,1,1,2,5,2,No, , , , , , , ,No, ,Yes,Yes,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,70,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Democrat,Moderate,"75 to under $100,000",60653
100364,1,62015,27,Female,2,1,2,2, , ,No, , , , , , , , , ,No,No,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,53,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Independent,"Liberal, OR","30 to under $40,000",55912
100371,1,61115,36,Male,1,2,1,2,4,2,Yes,"Yes, smartphone",No,No,No, , , ,No,No,No,No,DISAGREE,DISAGREE,DON'T KNOW,DISAGREE,DON'T KNOW,AGREE,59,Divorced,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Democrat,Moderate,"100 to under $150,000",11510
100372,1,62715,37,Male,2,3,2,2, , ,No, , , , , , , , , ,No,No,DISAGREE,DISAGREE,AGREE,DON'T KNOW,DISAGREE,DISAGREE,83,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Republican,Moderate,(VOL.) Don't know,28607
100375,1,61915,31,Male,2,2,1,2,4,1,Yes,"No, not a smartphone",No,No,No, , , ,No, ,No,No,9,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,75,Married,2,"Postgraduate or professional degree, including masterÍs, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Republican,Conservative,(VOL.) Refused,68057
100378,1,61115,27,Female,1,2,2,2, , ,Yes,"No, not a smartphone", , , ,No,No,No, , ,No,No,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,56,Never been married,1,High school graduate (Grade 12 with diploma or GED certificate),Independent,Conservative,"10 to under $20,000",56087
100380,1,61115,26,Male,2,3,1,1,2,1,Yes,"Yes, smartphone",No,Yes,Yes, , , ,No,No,No,No,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,56,Married,2,High school graduate (Grade 12 with diploma or GED certificate),Independent,Moderate,"100 to under $150,000",48809
100388,1,61115,34,Female,3,4,1,2,3,1,Yes,"No, not a smartphone",No,No,No, , , ,Yes, ,No,Yes,9,AGREE,AGREE,AGREE,AGREE,AGREE,99,Widowed,1,Two year associate degree from a college or university,Democrat,"Liberal, OR",(VOL.) Don't know,7111
100390,1,61115,34,Female,1,2,1,1,3,1,Yes,"Yes, smartphone",Yes,Yes,Yes, , , ,No,No,Yes,Yes,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,19,Never been married,3,High school graduate (Grade 12 with diploma or GED certificate),Independent,Moderate,"$150,000 or more",7458
